Invoice ID,Branch City,Customer type,Gender,Product line,Unit price,Quantity,Total,Date,Time,Payment,cogs,gross income,Rating
853-23-2453,Mandalay,Member,Male,Health and beauty,75.74,4,318.108,2/14/2019,14:35,Cash,302.96,15.148,7.6
877-22-3308,Yangon,Member,Male,Health and beauty,15.87,10,166.635,3/13/2019,16:40,Cash,158.7,7.935,5.8
838-78-4295,Naypyitaw,Normal,Female,Health and beauty,33.47,2,70.287,2/10/2019,15:43,Ewallet,66.94,3.347,6.7
109-28-2512,Mandalay,Member,Female,Fashion accessories,97.61,6,614.943,1/7/2019,15:01,Ewallet,585.66,29.283,9.9
232-11-3025,Yangon,Normal,Male,Sports and travel,78.77,10,827.085,1/24/2019,10:04,Cash,787.7,39.385,6.4
382-03-4532,Yangon,Member,Female,Health and beauty,18.33,1,19.2465,2/2/2019,18:50,Cash,18.33,0.9165,4.3
393-65-2792,Naypyitaw,Normal,Male,Food and beverages,89.48,10,939.54,1/6/2019,12:46,Credit card,894.8,44.74,9.6
796-12-2025,Naypyitaw,Normal,Male,Fashion accessories,62.12,10,652.26,2/11/2019,16:19,Cash,621.2,31.06,5.9
510-95-6347,Mandalay,Member,Female,Food and beverages,48.52,3,152.838,3/5/2019,18:17,Ewallet,145.56,7.278,4
841-35-6630,Naypyitaw,Normal,Female,Electronic accessories,75.91,6,478.233,3/9/2019,18:21,Cash,455.46,22.773,8.7
287-21-9091,Yangon,Normal,Male,Home and lifestyle,74.67,9,705.6315,1/22/2019,10:55,Ewallet,672.03,33.6015,9.4
732-94-0499,Naypyitaw,Normal,Female,Electronic accessories,41.65,10,437.325,1/13/2019,17:04,Credit card,416.5,20.825,5.4
263-10-3913,Naypyitaw,Member,Male,Fashion accessories,49.04,9,463.428,1/9/2019,14:20,Credit card,441.36,22.068,8.6
381-20-0914,Yangon,Member,Female,Fashion accessories,20.01,9,189.0945,1/12/2019,15:48,Credit card,180.09,9.0045,5.7
829-49-1914,Naypyitaw,Member,Female,Food and beverages,78.31,10,822.255,3/5/2019,16:24,Ewallet,783.1,39.155,6.6
756-01-7507,Naypyitaw,Normal,Female,Health and beauty,20.38,5,106.995,1/22/2019,18:56,Cash,101.9,5.095,6
870-72-4431,Naypyitaw,Normal,Female,Health and beauty,99.19,6,624.897,1/21/2019,14:42,Credit card,595.14,29.757,5.5
847-38-7188,Mandalay,Normal,Female,Food and beverages,96.68,3,304.542,1/26/2019,19:56,Ewallet,290.04,14.502,6.4
480-63-2856,Naypyitaw,Normal,Male,Food and beverages,19.25,8,161.7,1/23/2019,18:37,Ewallet,154,7.7,6.6
787-56-0757,Naypyitaw,Member,Female,Food and beverages,80.36,4,337.512,2/23/2019,18:45,Credit card,321.44,16.072,8.3
360-39-5055,Naypyitaw,Member,Male,Sports and travel,48.91,5,256.7775,3/9/2019,10:17,Cash,244.55,12.2275,6.6
730-50-9884,Naypyitaw,Normal,Female,Sports and travel,83.06,7,610.491,3/5/2019,14:31,Ewallet,581.42,29.071,4
362-58-8315,Naypyitaw,Normal,Male,Fashion accessories,76.52,5,401.73,3/25/2019,10:23,Cash,382.6,19.13,9.9
633-44-8566,Yangon,Member,Male,Food and beverages,49.38,7,362.943,3/27/2019,20:35,Credit card,345.66,17.283,7.3
504-35-8843,Yangon,Normal,Male,Sports and travel,42.47,1,44.5935,1/2/2019,16:57,Cash,42.47,2.1235,5.7
318-68-5053,Mandalay,Normal,Female,Health and beauty,76.99,6,485.037,2/27/2019,17:55,Cash,461.94,23.097,6.1
565-80-5980,Naypyitaw,Member,Female,Home and lifestyle,47.38,4,198.996,1/23/2019,10:25,Cash,189.52,9.476,7.1
225-32-0908,Naypyitaw,Normal,Female,Sports and travel,44.86,10,471.03,1/26/2019,19:54,Ewallet,448.6,22.43,8.2
873-51-0671,Yangon,Member,Female,Sports and travel,21.98,7,161.553,1/10/2019,16:42,Ewallet,153.86,7.693,5.1
152-08-9985,Mandalay,Member,Male,Health and beauty,64.36,9,608.202,3/12/2019,12:09,Credit card,579.24,28.962,8.6
512-91-0811,Naypyitaw,Normal,Male,Health and beauty,89.75,1,94.2375,2/6/2019,20:05,Credit card,89.75,4.4875,6.6
594-34-4444,Yangon,Normal,Male,Electronic accessories,97.16,1,102.018,3/8/2019,20:38,Ewallet,97.16,4.858,7.2
766-85-7061,Mandalay,Normal,Male,Health and beauty,87.87,10,922.635,3/29/2019,10:25,Ewallet,878.7,43.935,5.1
871-39-9221,Naypyitaw,Normal,Female,Electronic accessories,12.45,6,78.435,2/9/2019,13:11,Cash,74.7,3.735,4.1
865-92-6136,Yangon,Normal,Male,Food and beverages,52.75,3,166.1625,3/23/2019,10:16,Ewallet,158.25,7.9125,9.3
733-01-9107,Mandalay,Normal,Male,Home and lifestyle,82.7,6,521.01,3/5/2019,18:14,Cash,496.2,24.81,7.4
163-56-7055,Naypyitaw,Member,Male,Fashion accessories,48.71,1,51.1455,3/26/2019,19:20,Cash,48.71,2.4355,4.1
189-98-2939,Naypyitaw,Normal,Male,Fashion accessories,78.55,9,742.2975,3/1/2019,13:22,Cash,706.95,35.3475,7.2
551-21-3069,Naypyitaw,Normal,Female,Electronic accessories,23.07,9,218.0115,2/1/2019,11:27,Cash,207.63,10.3815,4.9
212-62-1842,Yangon,Normal,Male,Food and beverages,58.26,6,367.038,3/28/2019,16:44,Cash,349.56,17.478,9.9
716-39-1409,Mandalay,Normal,Male,Health and beauty,30.35,7,223.0725,3/19/2019,18:19,Cash,212.45,10.6225,8
704-48-3927,Yangon,Member,Male,Electronic accessories,88.67,10,931.035,1/12/2019,14:50,Ewallet,886.7,44.335,7.3
628-34-3388,Naypyitaw,Normal,Male,Fashion accessories,27.38,6,172.494,1/5/2019,20:54,Credit card,164.28,8.214,7.9
630-74-5166,Yangon,Normal,Male,Sports and travel,62.13,6,391.419,3/22/2019,20:19,Cash,372.78,18.639,7.4
588-01-7461,Naypyitaw,Normal,Female,Food and beverages,33.98,9,321.111,3/24/2019,10:43,Cash,305.82,15.291,4.2
861-77-0145,Naypyitaw,Member,Male,Electronic accessories,81.97,10,860.685,3/3/2019,14:30,Cash,819.7,40.985,9.2
479-26-8945,Mandalay,Member,Female,Sports and travel,16.49,2,34.629,2/5/2019,11:32,Ewallet,32.98,1.649,4.6
210-67-5886,Naypyitaw,Member,Female,Health and beauty,98.21,3,309.3615,2/5/2019,10:41,Credit card,294.63,14.7315,7.8
227-78-1148,Mandalay,Normal,Female,Fashion accessories,72.84,7,535.374,2/15/2019,12:44,Cash,509.88,25.494,8.4
645-44-1170,Yangon,Member,Male,Home and lifestyle,58.07,9,548.7615,1/19/2019,20:07,Ewallet,522.63,26.1315,4.3
237-01-6122,Naypyitaw,Member,Female,Home and lifestyle,80.79,9,763.4655,2/1/2019,20:31,Credit card,727.11,36.3555,9.5
225-98-1496,Naypyitaw,Normal,Female,Fashion accessories,27.02,3,85.113,3/2/2019,13:01,Credit card,81.06,4.053,7.1
291-32-1427,Mandalay,Member,Male,Fashion accessories,21.94,5,115.185,3/5/2019,12:29,Ewallet,109.7,5.485,5.3
659-65-8956,Mandalay,Member,Male,Fashion accessories,51.36,1,53.928,1/16/2019,15:26,Ewallet,51.36,2.568,5.2
642-32-2990,Yangon,Normal,Female,Food and beverages,10.96,10,115.08,2/2/2019,20:48,Ewallet,109.6,5.48,6
378-24-2715,Mandalay,Normal,Male,Home and lifestyle,53.44,2,112.224,1/20/2019,20:38,Ewallet,106.88,5.344,4.1
638-60-7125,Yangon,Normal,Female,Electronic accessories,99.56,8,836.304,2/14/2019,17:03,Credit card,796.48,39.824,5.2
659-36-1684,Naypyitaw,Member,Male,Sports and travel,57.12,7,419.832,1/12/2019,12:02,Credit card,399.84,19.992,6.5
219-22-9386,Mandalay,Member,Male,Sports and travel,99.96,9,944.622,3/9/2019,17:26,Credit card,899.64,44.982,4.2
336-78-2147,Naypyitaw,Member,Male,Home and lifestyle,63.91,8,536.844,3/13/2019,19:52,Credit card,511.28,25.564,4.6
268-27-6179,Mandalay,Member,Female,Fashion accessories,56.47,8,474.348,3/9/2019,14:57,Ewallet,451.76,22.588,7.3
668-90-8900,Yangon,Normal,Female,Home and lifestyle,93.69,7,688.6215,3/10/2019,18:44,Credit card,655.83,32.7915,4.5
870-54-3162,Yangon,Normal,Female,Sports and travel,32.25,5,169.3125,1/27/2019,13:26,Cash,161.25,8.0625,9
189-08-9157,Naypyitaw,Normal,Female,Fashion accessories,31.73,9,299.8485,1/8/2019,16:17,Credit card,285.57,14.2785,5.9
663-86-9076,Naypyitaw,Member,Female,Food and beverages,68.54,8,575.736,1/8/2019,15:57,Ewallet,548.32,27.416,8.5
549-84-7482,Mandalay,Normal,Female,Sports and travel,90.28,9,853.146,2/8/2019,11:15,Ewallet,812.52,40.626,7.2
191-10-6171,Mandalay,Normal,Female,Fashion accessories,39.62,7,291.207,1/25/2019,13:18,Cash,277.34,13.867,7.5
802-70-5316,Yangon,Member,Female,Sports and travel,92.13,6,580.419,3/6/2019,20:34,Cash,552.78,27.639,8.3
695-51-0018,Mandalay,Normal,Female,Sports and travel,34.84,4,146.328,2/10/2019,18:36,Cash,139.36,6.968,7.4
590-83-4591,Mandalay,Member,Male,Electronic accessories,87.45,6,550.935,2/17/2019,14:40,Credit card,524.7,26.235,8.8
483-71-1164,Naypyitaw,Normal,Female,Health and beauty,81.3,6,512.19,3/8/2019,16:43,Ewallet,487.8,24.39,5.3
597-78-7908,Naypyitaw,Normal,Male,Fashion accessories,90.22,3,284.193,2/18/2019,19:39,Cash,270.66,13.533,6.2
700-81-1757,Yangon,Normal,Female,Electronic accessories,26.31,5,138.1275,1/18/2019,20:59,Credit card,131.55,6.5775,8.8
354-39-5160,Yangon,Member,Female,Home and lifestyle,34.42,6,216.846,2/18/2019,15:39,Cash,206.52,10.326,9.8
241-72-9525,Mandalay,Normal,Male,Sports and travel,51.91,10,545.055,2/16/2019,12:21,Cash,519.1,25.955,8.2
575-30-8091,Yangon,Normal,Male,Sports and travel,72.5,8,609,3/16/2019,19:25,Ewallet,580,29,9.2
731-81-9469,Naypyitaw,Member,Female,Sports and travel,89.8,10,942.9,1/23/2019,13:00,Credit card,898,44.9,5.4
280-17-4359,Naypyitaw,Member,Male,Health and beauty,90.5,10,950.25,1/25/2019,13:48,Cash,905,45.25,8.1
338-65-2210,Naypyitaw,Member,Female,Health and beauty,68.6,10,720.3,2/5/2019,19:57,Cash,686,34.3,9.1
488-25-4221,Naypyitaw,Member,Female,Food and beverages,30.41,1,31.9305,2/22/2019,10:36,Credit card,30.41,1.5205,8.4
239-10-7476,Yangon,Normal,Female,Home and lifestyle,77.95,6,491.085,1/21/2019,16:37,Ewallet,467.7,23.385,8
458-41-1477,Naypyitaw,Normal,Female,Health and beauty,46.26,6,291.438,3/8/2019,17:11,Credit card,277.56,13.878,9.5
685-64-1609,Yangon,Member,Female,Fashion accessories,30.14,10,316.47,2/10/2019,12:28,Ewallet,301.4,15.07,9.2
568-90-5112,Naypyitaw,Normal,Male,Health and beauty,66.14,4,277.788,3/19/2019,12:46,Credit card,264.56,13.228,5.6
262-47-2794,Mandalay,Member,Male,Home and lifestyle,71.86,8,603.624,3/6/2019,15:07,Credit card,574.88,28.744,6.2
238-49-0436,Yangon,Normal,Male,Health and beauty,32.46,8,272.664,3/27/2019,13:48,Credit card,259.68,12.984,4.9
608-96-3517,Mandalay,Member,Female,Fashion accessories,91.54,4,384.468,3/23/2019,19:20,Credit card,366.16,18.308,4.8
584-86-7256,Naypyitaw,Member,Male,Sports and travel,34.56,7,254.016,3/11/2019,16:07,Credit card,241.92,12.096,7.3
746-94-0204,Yangon,Normal,Male,Fashion accessories,83.24,9,786.618,1/29/2019,11:56,Credit card,749.16,37.458,7.4
214-17-6927,Naypyitaw,Normal,Female,Food and beverages,16.48,6,103.824,2/7/2019,18:23,Ewallet,98.88,4.944,9.9
400-89-4171,Naypyitaw,Normal,Female,Sports and travel,80.97,8,680.148,1/28/2019,13:05,Cash,647.76,32.388,9.3
782-95-9291,Yangon,Member,Male,Food and beverages,92.29,5,484.5225,2/20/2019,15:55,Credit card,461.45,23.0725,9
279-74-2924,Mandalay,Member,Male,Electronic accessories,72.17,1,75.7785,1/4/2019,19:40,Cash,72.17,3.6085,6.1
307-85-2293,Mandalay,Normal,Male,Home and lifestyle,50.28,5,263.97,3/7/2019,13:58,Ewallet,251.4,12.57,9.7
743-04-1105,Mandalay,Member,Male,Health and beauty,97.22,9,918.729,3/30/2019,14:43,Ewallet,874.98,43.749,6
423-57-2993,Mandalay,Normal,Male,Sports and travel,93.39,6,588.357,3/27/2019,19:18,Ewallet,560.34,28.017,10
894-41-5205,Naypyitaw,Normal,Female,Food and beverages,43.18,8,362.712,1/19/2019,19:39,Credit card,345.44,17.272,8.3
275-28-0149,Yangon,Normal,Male,Sports and travel,63.69,1,66.8745,2/25/2019,16:21,Cash,63.69,3.1845,6
101-17-6199,Yangon,Normal,Male,Food and beverages,45.79,7,336.5565,3/13/2019,19:44,Credit card,320.53,16.0265,7
423-80-0988,Naypyitaw,Normal,Male,Sports and travel,76.4,2,160.44,1/30/2019,19:42,Ewallet,152.8,7.64,6.5
548-46-9322,Mandalay,Normal,Male,Food and beverages,39.9,10,418.95,2/20/2019,15:24,Credit card,399,19.95,5.9
505-02-0892,Mandalay,Member,Male,Health and beauty,42.57,8,357.588,2/25/2019,14:12,Ewallet,340.56,17.028,5.6
234-65-2137,Naypyitaw,Normal,Male,Home and lifestyle,95.58,10,1003.59,1/16/2019,13:32,Cash,955.8,47.79,4.8
687-47-8271,Yangon,Normal,Male,Fashion accessories,98.98,10,1039.29,2/8/2019,16:20,Credit card,989.8,49.49,8.7
796-32-9050,Yangon,Normal,Male,Food and beverages,51.28,6,323.064,1/19/2019,16:31,Cash,307.68,15.384,6.5
105-31-1824,Yangon,Member,Male,Sports and travel,69.52,7,510.972,2/1/2019,15:10,Credit card,486.64,24.332,8.5
249-42-3782,Yangon,Normal,Male,Health and beauty,70.01,5,367.5525,1/3/2019,11:36,Ewallet,350.05,17.5025,5.5
316-55-4634,Mandalay,Member,Male,Food and beverages,80.05,5,420.2625,1/26/2019,12:45,Credit card,400.25,20.0125,9.4
733-33-4967,Naypyitaw,Normal,Male,Electronic accessories,20.85,8,175.14,3/3/2019,19:17,Cash,166.8,8.34,6.3
608-27-6295,Mandalay,Member,Male,Electronic accessories,52.89,6,333.207,1/19/2019,17:34,Credit card,317.34,15.867,9.8
414-12-7047,Mandalay,Normal,Male,Food and beverages,19.79,8,166.236,1/18/2019,12:04,Ewallet,158.32,7.916,8.7
827-26-2100,Yangon,Member,Male,Home and lifestyle,33.84,9,319.788,3/21/2019,16:21,Ewallet,304.56,15.228,8.8
175-54-2529,Yangon,Member,Male,Food and beverages,22.17,8,186.228,3/3/2019,17:01,Credit card,177.36,8.868,9.6
139-52-2867,Naypyitaw,Normal,Female,Fashion accessories,22.51,7,165.4485,2/13/2019,10:50,Credit card,157.57,7.8785,4.8
407-63-8975,Yangon,Normal,Male,Food and beverages,73.88,6,465.444,3/23/2019,19:16,Ewallet,443.28,22.164,4.4
342-65-4817,Naypyitaw,Member,Male,Health and beauty,86.8,3,273.42,1/28/2019,16:47,Ewallet,260.4,13.02,9.9
130-98-8941,Naypyitaw,Normal,Male,Fashion accessories,64.26,7,472.311,2/9/2019,10:00,Cash,449.82,22.491,5.7
434-83-9547,Naypyitaw,Member,Male,Food and beverages,38.47,8,323.148,1/23/2019,11:51,Cash,307.76,15.388,7.7
851-28-6367,Yangon,Member,Male,Sports and travel,15.5,10,162.75,3/23/2019,10:55,Ewallet,155,7.75,8
824-88-3614,Naypyitaw,Normal,Male,Health and beauty,34.31,8,288.204,1/25/2019,15:00,Ewallet,274.48,13.724,5.7
586-25-0848,Yangon,Normal,Female,Sports and travel,12.34,7,90.699,3/4/2019,11:19,Credit card,86.38,4.319,6.7
895-66-0685,Mandalay,Member,Male,Food and beverages,18.08,3,56.952,3/5/2019,19:46,Ewallet,54.24,2.712,8
305-14-0245,Mandalay,Member,Female,Home and lifestyle,94.49,8,793.716,3/3/2019,19:00,Ewallet,755.92,37.796,7.5
732-04-5373,Mandalay,Member,Male,Home and lifestyle,46.47,4,195.174,2/8/2019,10:53,Cash,185.88,9.294,7
400-60-7251,Yangon,Normal,Male,Home and lifestyle,74.07,1,77.7735,2/10/2019,12:50,Ewallet,74.07,3.7035,9.9
593-65-1552,Naypyitaw,Normal,Female,Home and lifestyle,69.81,4,293.202,1/28/2019,20:50,Credit card,279.24,13.962,5.9
284-34-9626,Mandalay,Normal,Female,Home and lifestyle,77.04,3,242.676,2/11/2019,10:39,Credit card,231.12,11.556,7.2
437-58-8131,Mandalay,Normal,Female,Fashion accessories,73.52,2,154.392,1/15/2019,13:41,Ewallet,147.04,7.352,4.6
286-43-6208,Naypyitaw,Normal,Female,Food and beverages,87.8,9,829.71,3/16/2019,19:08,Cash,790.2,39.51,9.2
641-43-2399,Mandalay,Normal,Male,Home and lifestyle,25.55,4,107.31,1/26/2019,20:23,Ewallet,102.2,5.11,5.7
831-07-6050,Yangon,Normal,Male,Electronic accessories,32.71,5,171.7275,3/19/2019,11:30,Credit card,163.55,8.1775,9.9
556-86-3144,Naypyitaw,Member,Female,Fashion accessories,74.29,1,78.0045,1/13/2019,19:30,Cash,74.29,3.7145,5
848-24-9445,Naypyitaw,Member,Male,Health and beauty,43.7,2,91.77,3/26/2019,18:03,Cash,87.4,4.37,4.9
856-22-8149,Yangon,Normal,Female,Home and lifestyle,25.29,1,26.5545,3/23/2019,10:13,Ewallet,25.29,1.2645,6.1
699-01-4164,Naypyitaw,Normal,Male,Health and beauty,41.5,4,174.3,3/12/2019,19:58,Credit card,166,8.3,8.2
420-11-4919,Naypyitaw,Member,Female,Food and beverages,71.39,5,374.7975,2/17/2019,19:57,Credit card,356.95,17.8475,5.5
606-80-4905,Naypyitaw,Member,Female,Sports and travel,19.15,6,120.645,1/29/2019,10:01,Credit card,114.9,5.745,6.8
542-41-0513,Mandalay,Member,Female,Electronic accessories,57.49,4,241.458,3/15/2019,11:57,Cash,229.96,11.498,6.6
426-39-2418,Naypyitaw,Normal,Male,Electronic accessories,61.41,7,451.3635,1/14/2019,10:02,Cash,429.87,21.4935,9.8
875-46-5808,Mandalay,Member,Male,Health and beauty,25.9,10,271.95,2/6/2019,14:51,Ewallet,259,12.95,8.7
394-43-4238,Mandalay,Member,Male,Home and lifestyle,17.77,5,93.2925,2/15/2019,12:42,Credit card,88.85,4.4425,5.4
749-24-1565,Yangon,Normal,Female,Health and beauty,23.03,9,217.6335,1/3/2019,12:02,Ewallet,207.27,10.3635,7.9
672-51-8681,Naypyitaw,Member,Female,Electronic accessories,66.65,9,629.8425,1/4/2019,18:19,Credit card,599.85,29.9925,9.7
263-87-5680,Naypyitaw,Member,Female,Home and lifestyle,28.53,10,299.565,3/18/2019,17:38,Ewallet,285.3,14.265,7.8
573-58-9734,Mandalay,Normal,Female,Fashion accessories,30.37,3,95.6655,3/28/2019,13:41,Ewallet,91.11,4.5555,5.1
817-69-8206,Mandalay,Normal,Female,Electronic accessories,99.73,9,942.4485,3/2/2019,19:42,Credit card,897.57,44.8785,6.5
